info,year,title
"{'actors': ['Amber Heard', 'Odette Annable', 'Karl Urban'], 'release_date': '2010-12-17T00:00:00Z', 'plot': 'When two American girls on a bike trip in a remote part of Argentina split up and one of them goes missing, the other must find her before her worst fears are realized.', 'genres': ['Crime', 'Horror', 'Mystery', 'Thriller'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BMTk1MDk2NjU5MF5BMl5BanBnXkFtZTcwMDQ2MDAwNA@@._V1_SX400_.jpg', 'directors': ['Marcos Efron'], 'rating': Decimal('5'), 'rank': Decimal('2866'), 'running_time_secs': Decimal('5460')}",2010,And Soon the Darkness
"{'actors': ['James Frecheville', 'Guy Pearce', 'Joel Edgerton'], 'release_date': '2010-01-22T00:00:00Z', 'plot': 'Tells the story of seventeen year-old J (Josh) as he navigates his survival amongst an explosive criminal family and the detective who thinks he can save him.', 'genres': ['Crime', 'Drama', 'Thriller'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BMTQ2NjcwNjE4NV5BMl5BanBnXkFtZTcwNDU2NDg1Mw@@._V1_SX400_.jpg', 'directors': ['David Michod'], 'rating': Decimal('7.3'), 'rank': Decimal('2447'), 'running_time_secs': Decimal('6780')}",2010,Animal Kingdom
"{'actors': ['Jim Broadbent', 'Ruth Sheen', 'Lesley Manville'], 'release_date': '2010-05-15T00:00:00Z', 'plot': 'A look at four seasons in the lives of a happily married couple and their relationships with their family and friends.', 'genres': ['Comedy', 'Drama'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BMTY5NzY5NTY2NF5BMl5BanBnXkFtZTcwNTg3NzIxNA@@._V1_SX400_.jpg', 'directors': ['Mike Leigh'], 'rating': Decimal('7.3'), 'rank': Decimal('3297'), 'running_time_secs': Decimal('7740')}",2010,Another Year
"{'actors': ['Paul Giamatti', 'Rosamund Pike', 'Jake Hoffman'], 'release_date': '2010-09-10T00:00:00Z', 'plot': 'The picaresque and touching story of the politically incorrect, fully lived life of the impulsive, irascible and fearlessly blunt Barney Panofsky.', 'genres': ['Comedy', 'Drama'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BMTM4MTUwNDg0OF5BMl5BanBnXkFtZTcwMjUyODYxNA@@._V1_SX400_.jpg', 'directors': ['Richard J. Lewis'], 'rating': Decimal('7.2'), 'rank': Decimal('4892'), 'running_time_secs': Decimal('8040')}",2010,Barney's Version
"{'actors': ['Ewan McGregor', 'Christopher Plummer', 'Melanie Laurent'], 'release_date': '2010-09-11T00:00:00Z', 'plot': 'A young man is rocked by two announcements from his elderly father: that he has terminal cancer, and that he has a young male lover.', 'genres': ['Comedy', 'Drama', 'Romance'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BMjAyNDcxNTk3NV5BMl5BanBnXkFtZTcwMjk4MDU2NA@@._V1_SX400_.jpg', 'directors': ['Mike Mills'], 'rating': Decimal('7.1'), 'rank': Decimal('1685'), 'running_time_secs': Decimal('6300')}",2010,Beginners
"{'actors': ['Alan Bagh', 'Whitney Moore', 'Tippi Hedren'], 'release_date': '2010-02-27T00:00:00Z', 'plot': ""A platoon of eagles and vultures attacks the residents of a small town. Many people die. It's not known what caused the flying menace to attack. Two people manage to fight back, but will they survive Birdemic?"", 'genres': ['Horror', 'Romance', 'Thriller'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BOTcxODAwMDYwNV5BMl5BanBnXkFtZTcwNzQ3MjQzMg@@._V1_SX400_.jpg', 'directors': ['James Nguyen'], 'rating': Decimal('1.8'), 'rank': Decimal('4291'), 'running_time_secs': Decimal('5400')}",2010,Birdemic: Shock and Terror
"{'actors': ['Javier Bardem', 'Maricel Alvarez', 'Hanaa Bouchaib'], 'release_date': '2010-05-17T00:00:00Z', 'plot': 'This is the story of Uxbal, a man living in this world, but able to see his death, which guides his every move.', 'genres': ['Drama'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BMzI4OTQ0MDQyNl5BMl5BanBnXkFtZTcwODY5MjQwNA@@._V1_SX400_.jpg', 'directors': ['Alejandro Gonzalez Inarritu'], 'rating': Decimal('7.4'), 'rank': Decimal('2349'), 'running_time_secs': Decimal('8880')}",2010,Biutiful
"{'actors': ['Eddie Redmayne', 'Sean Bean', 'Carice van Houten'], 'release_date': '2010-05-26T00:00:00Z', 'plot': 'Set during the time of the first outbreak of bubonic plague in England, a young monk is given the task of learning the truth about reports of people being brought back to life in a small village.', 'genres': ['Action', 'Drama', 'Horror', 'Mystery'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BMTkxNjEwNjY3NV5BMl5BanBnXkFtZTcwMTY1NTUyNA@@._V1_SX400_.jpg', 'directors': ['Christopher Smith'], 'rating': Decimal('6.4'), 'rank': Decimal('2625'), 'running_time_secs': Decimal('6120')}",2010,Black Death
"{'actors': ['Natalie Portman', 'Mila Kunis', 'Vincent Cassel'], 'release_date': '2010-09-01T00:00:00Z', 'plot': 'A ballet dancer wins the lead in ""Swan Lake"" and is perfect for the role of the delicate White Swan - Princess Odette - but slowly loses her mind as she becomes more and more like Odile, the Black Swan.', 'genres': ['Drama', 'Mystery', 'Thriller'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BNzY2NzI4OTE5MF5BMl5BanBnXkFtZTcwMjMyNDY4Mw@@._V1_SX400_.jpg', 'directors': ['Darren Aronofsky'], 'rating': Decimal('8.1'), 'rank': Decimal('291'), 'running_time_secs': Decimal('6480')}",2010,Black Swan
"{'actors': ['Ryan Gosling', 'Michelle Williams', 'John Doman'], 'release_date': '2010-01-24T00:00:00Z', 'plot': 'The film centers on a contemporary married couple, charting their evolution over a span of years by cross-cutting between time periods.', 'genres': ['Drama', 'Romance'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BMTU4MTQ2MzA1Ml5BMl5BanBnXkFtZTcwODE3NTgwNA@@._V1_SX400_.jpg', 'directors': ['Derek Cianfrance'], 'rating': Decimal('7.4'), 'rank': Decimal('595'), 'running_time_secs': Decimal('6720')}",2010,Blue Valentine
"{'actors': ['James Rolleston', 'Taika Waititi', 'Moerangi Tihore'], 'release_date': '2010-01-22T00:00:00Z', 'plot': 'Set on the east coast of New Zealand in the year 1984, Boy, an 11-year-old kid and devout Michael Jackson fan gets a chance to know his father, who has returned to find a bag of money he buried years ago.', 'genres': ['Comedy', 'Drama'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BMjc4MjQ2ODQyNF5BMl5BanBnXkFtZTcwOTE0NzIzNw@@._V1_SX400_.jpg', 'directors': ['Taika Waititi'], 'rating': Decimal('7.2'), 'rank': Decimal('3218'), 'running_time_secs': Decimal('5220')}",2010,Boy
"{'actors': ['Josh Hartnett', 'Demi Moore', 'Woody Harrelson'], 'release_date': '2010-09-11T00:00:00Z', 'plot': 'The story of a a young man who has spent his life searching for revenge only to find himself up against a bigger challenge than he originally bargained for.', 'genres': ['Action', 'Drama', 'Thriller'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BNDIwMTA3MDg2OV5BMl5BanBnXkFtZTcwODA1NzM1Ng@@._V1_SX400_.jpg', 'directors': ['Guy Moshe'], 'rating': Decimal('6'), 'rank': Decimal('3772'), 'running_time_secs': Decimal('7440')}",2010,Bunraku
"{'actors': ['Ryan Reynolds', 'Jose Luis Garcia Perez', 'Robert Paterson'], 'release_date': '2010-01-23T00:00:00Z', 'plot': ""Paul is a U.S. truck driver working in Iraq. After an attack by a group of Iraqis he wakes to find he is buried alive inside a coffin. With only a lighter and a cell phone it's a race against time to escape this claustrophobic death trap."", 'genres': ['Drama', 'Mystery', 'Thriller'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BMTg5MzU3OTIwOV5BMl5BanBnXkFtZTcwMzU3NzY3Mw@@._V1_SX400_.jpg', 'directors': ['Rodrigo Cortes'], 'rating': Decimal('7'), 'rank': Decimal('1954'), 'running_time_secs': Decimal('5700')}",2010,Buried
"{'actors': ['Bill Bailey', 'Tom Wilkinson', 'Michael Smiley'], 'release_date': '2010-10-29T00:00:00Z', 'plot': 'A black comedy about two 19th century grave robbers who find a lucrative business providing cadavers for an Edinburgh medical school.', 'genres': ['Comedy', 'Thriller'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BMjE5MjU5NDM3Nl5BMl5BanBnXkFtZTcwNzA0MDYwNA@@._V1_SX400_.jpg', 'directors': ['John Landis'], 'rating': Decimal('6.1'), 'rank': Decimal('4452'), 'running_time_secs': Decimal('5460')}",2010,Burke and Hare
"{'actors': ['Cher', 'Christina Aguilera', 'Alan Cumming'], 'release_date': '2010-11-24T00:00:00Z', 'plot': 'A small-town girl ventures to Los Angeles and finds her place in a neo-burlesque club run by a former dancer.', 'genres': ['Drama', 'Musical', 'Romance'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BMTc4MzEyODI0Ml5BMl5BanBnXkFtZTcwNjIyNDQ4Mw@@._V1_SX400_.jpg', 'directors': ['Steve Antin'], 'rating': Decimal('6.1'), 'rank': Decimal('392'), 'running_time_secs': Decimal('7140')}",2010,Burlesque
"{'actors': ['Sean Bean', 'Chris Hemsworth', 'Victoria Profeta'], 'release_date': '2010-03-01T00:00:00Z', 'plot': 'A man meets up with two ""good guys"" to recover what is unlawfully his, taking them on his whirlwind ride, doing things they never would have imagined, just to survive.', 'genres': ['Comedy', 'Crime', 'Thriller'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BMjE4MjY2OTIyN15BMl5BanBnXkFtZTcwODE2OTI3Nw@@._V1_SX400_.jpg', 'directors': ['Stephen Milburn Anderson'], 'rating': Decimal('5.9'), 'rank': Decimal('4919'), 'running_time_secs': Decimal('6480')}",2010,Ca$h
"{'actors': ['Kevin Spacey', 'Barry Pepper', 'Jon Lovitz'], 'release_date': '2010-09-16T00:00:00Z', 'plot': 'A hot shot Washington DC lobbyist and his protege go down hard as their schemes to peddle influence lead to corruption and murder.', 'genres': ['Biography', 'Comedy', 'Crime', 'Drama'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BMTM2NzQ4NDE2M15BMl5BanBnXkFtZTcwNDM0NzcwNA@@._V1_SX400_.jpg', 'directors': ['George Hickenlooper'], 'rating': Decimal('6.2'), 'rank': Decimal('4691'), 'running_time_secs': Decimal('6480')}",2010,Casino Jack
"{'actors': ['Yaniv Schulman', 'Ariel Schulman', 'Henry Joost'], 'release_date': '2010-01-22T00:00:00Z', 'plot': ""Young filmmakers document their colleague's budding online friendship with a young woman and her family which leads to an unexpected series of discoveries."", 'genres': ['Documentary'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BNjgyNjI2NzIwNV5BMl5BanBnXkFtZTcwNzI3MTE3Mw@@._V1_SX400_.jpg', 'directors': ['Henry Joost', 'Ariel Schulman'], 'rating': Decimal('7'), 'rank': Decimal('1480'), 'running_time_secs': Decimal('5220')}",2010,Catfish
"{'actors': ['Christian Cooke', 'Felicity Jones', 'Tom Hughes'], 'release_date': '2010-04-14T00:00:00Z', 'plot': 'A 1970s-set comedy centered on three young working class friends in a dreary suburb of Reading.', 'genres': ['Comedy', 'Drama'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BMTQ1MjA2NzIwMF5BMl5BanBnXkFtZTcwMzUyMjcyMw@@._V1_SX400_.jpg', 'directors': ['Ricky Gervais', 'Stephen Merchant'], 'rating': Decimal('6.8'), 'rank': Decimal('4346'), 'running_time_secs': Decimal('5700')}",2010,Cemetery Junction
"{'actors': ['Michael Fassbender', 'Dominic West', 'Olga Kurylenko'], 'release_date': '2010-02-15T00:00:00Z', 'plot': 'A splinter group of Roman soldiers fight for their lives behind enemy lines after their legion is decimated in a devastating guerrilla attack.', 'genres': ['Action', 'Adventure', 'Drama', 'History', 'Thriller', 'War'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BMTQ4NTI1MTEzM15BMl5BanBnXkFtZTcwNDc3NDc1Mw@@._V1_SX400_.jpg', 'directors': ['Neil Marshall'], 'rating': Decimal('6.3'), 'rank': Decimal('1760'), 'running_time_secs': Decimal('5820')}",2010,Centurion
"{'actors': ['Zac Efron', 'Kim Basinger', 'Charlie Tahan'], 'release_date': '2010-07-30T00:00:00Z', 'plot': 'Charlie St. Cloud has been given the gift of seeing his deceased brother, but when a new love interest is in trouble he must choose between saving a life or continuing to see his brother everyday.', 'genres': ['Drama', 'Fantasy', 'Romance'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BMTI4MjkyNDM2NV5BMl5BanBnXkFtZTcwOTExNDc0Mw@@._V1_SX400_.jpg', 'directors': ['Burr Steers'], 'rating': Decimal('6.1'), 'rank': Decimal('1677'), 'running_time_secs': Decimal('5940')}",2010,Charlie St. Cloud
"{'actors': ['Aaron Taylor-Johnson', 'Imogen Poots', 'Matthew Beard'], 'release_date': '2010-05-14T00:00:00Z', 'plot': 'A group of teenagers encourage each other\'s bad behavior in a chatroom ""Chelsea Teens!"".', 'genres': ['Drama', 'Thriller'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BMTk2MzkzNzQ0NV5BMl5BanBnXkFtZTcwODUzNTEzOQ@@._V1_SX400_.jpg', 'directors': ['Hideo Nakata'], 'rating': Decimal('5.2'), 'rank': Decimal('4422'), 'running_time_secs': Decimal('5820')}",2010,Chatroom
"{'actors': ['Sam Worthington', 'Liam Neeson', 'Ralph Fiennes'], 'release_date': '2010-03-26T00:00:00Z', 'plot': 'Perseus, mortal son of Zeus, battles the minions of the underworld to stop them from conquering heaven and earth.', 'genres': ['Action', 'Adventure', 'Fantasy'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BMTYxNjg4MzU5OV5BMl5BanBnXkFtZTcwOTA3NTUwMw@@._V1_SX400_.jpg', 'directors': ['Louis Leterrier'], 'rating': Decimal('5.8'), 'rank': Decimal('658'), 'running_time_secs': Decimal('6360')}",2010,Clash of the Titans
"{'actors': ['Hilary Swank', 'Sam Rockwell', 'Melissa Leo'], 'release_date': '2010-09-11T00:00:00Z', 'plot': 'A working mother puts herself through law school in an effort to represent her brother, who has been wrongfully convicted of murder and has exhausted his chances to appeal his conviction through public defenders.', 'genres': ['Biography', 'Drama'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BMjEwNzUzNTk0Ml5BMl5BanBnXkFtZTcwMDE1MTk1Mw@@._V1_SX400_.jpg', 'directors': ['Tony Goldwyn'], 'rating': Decimal('7.1'), 'rank': Decimal('3078'), 'running_time_secs': Decimal('6420')}",2010,Conviction
"{'actors': ['Bruce Willis', 'Tracy Morgan', 'Juan Carlos Hernandez'], 'release_date': '2010-02-25T00:00:00Z', 'plot': ""A comedy about a veteran NYPD cop whose rare baseball card is stolen. Since it's his only hope to pay for his daughter's upcoming wedding, he recruits his partner to track down the thief, a memorabilia-obsessed gangster."", 'genres': ['Action', 'Comedy', 'Crime'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BMTk0NzcxMjYwNF5BMl5BanBnXkFtZTcwMTI4MTIxMw@@._V1_SX400_.jpg', 'directors': ['Kevin Smith'], 'rating': Decimal('5.5'), 'rank': Decimal('2322'), 'running_time_secs': Decimal('6420')}",2010,Cop Out
"{'actors': ['Garrett Hedlund', 'Gwyneth Paltrow', 'Leighton Meester'], 'release_date': '2010-11-08T00:00:00Z', 'plot': 'A rising country-music songwriter works with a fallen star to work their way fame, causing romantic complications along the way.', 'genres': ['Drama', 'Music'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BMTUxMjQ0NjE3OV5BMl5BanBnXkFtZTcwODIxNDEwNA@@._V1_SX400_.jpg', 'directors': ['Shana Feste'], 'rating': Decimal('6'), 'rank': Decimal('1952'), 'running_time_secs': Decimal('7020')}",2010,Country Strong
"{'actors': ['John C. Reilly', 'Marisa Tomei', 'Jonah Hill'], 'release_date': '2010-01-23T00:00:00Z', 'plot': 'A recently divorced guy meets the woman of his dreams. Then he meets her son.', 'genres': ['Drama', 'Romance'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BMjA1MDU4NzUwMF5BMl5BanBnXkFtZTcwOTM4MDgzMw@@._V1_SX400_.jpg', 'directors': ['Jay Duplass', 'Mark Duplass'], 'rating': Decimal('6.3'), 'rank': Decimal('4184'), 'running_time_secs': Decimal('5460')}",2010,Cyrus
"{'actors': ['Ulrich Thomsen', 'Claudia Michelsen', 'Wotan Wilke Mohring'], 'release_date': '2010-07-01T00:00:00Z', 'plot': '13-year-old Sinikka vanishes on a hot summer night. Her bicycle is found in the exact place where a girl was killed 23 years ago. The dramatic present forces those involved in the original case to face their past.', 'genres': ['Crime', 'Drama', 'Thriller'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BMTg4NjUwOTQ1NF5BMl5BanBnXkFtZTcwNTY4MjcxOQ@@._V1_SX400_.jpg', 'directors': ['Baran bo Odar'], 'rating': Decimal('6.7'), 'rank': Decimal('3924'), 'running_time_secs': Decimal('7080')}",2010,Das letzte Schweigen
"{'actors': ['Steve Carell', 'Tina Fey', 'Mark Wahlberg'], 'release_date': '2010-04-06T00:00:00Z', 'plot': ""In New York City, a case of mistaken identity turns a bored married couple's attempt at a glamorous and romantic evening into something more thrilling and dangerous."", 'genres': ['Comedy', 'Crime', 'Romance', 'Thriller'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BODgwMjM2ODE4M15BMl5BanBnXkFtZTcwMTU2MDcyMw@@._V1_SX400_.jpg', 'directors': ['Shawn Levy'], 'rating': Decimal('6.3'), 'rank': Decimal('1279'), 'running_time_secs': Decimal('5280')}",2010,Date Night
"{'actors': ['Kat Dennings', 'Reece Thompson', 'Andie MacDowell'], 'release_date': '2010-09-10T00:00:00Z', 'plot': 'Tells the story of a city girl who moves to a small town and becomes entangled in a love triangle between her high school teacher and a stoner classmate.', 'genres': ['Drama', 'Romance'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BMTgxNjk2MTIyNl5BMl5BanBnXkFtZTcwNDc5MDA4NA@@._V1_SX400_.jpg', 'directors': ['Michael Goldbach'], 'rating': Decimal('6.3'), 'rank': Decimal('3182'), 'running_time_secs': Decimal('5880')}",2010,Daydream Nation
"{'actors': ['Channing Tatum', 'Amanda Seyfried', 'Richard Jenkins'], 'release_date': '2010-01-24T00:00:00Z', 'plot': ""A romantic drama about a soldier who falls for a conservative college student while he's home on leave."", 'genres': ['Drama', 'Romance', 'War'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BMTk1NDEzMTU5NV5BMl5BanBnXkFtZTcwNTI3MTk5Mg@@._V1_SX400_.jpg', 'directors': ['Lasse Hallstrom'], 'rating': Decimal('6'), 'rank': Decimal('1122'), 'running_time_secs': Decimal('6480')}",2010,Dear John
"{'actors': ['Chris Rock', 'Martin Lawrence', 'Keith David'], 'release_date': '2010-04-12T00:00:00Z', 'plot': 'A funeral ceremony turns into a debacle of exposed family secrets and misplaced bodies.', 'genres': ['Comedy'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BMTYzMDQxODE0NF5BMl5BanBnXkFtZTcwODE0MDk0Mw@@._V1_SX400_.jpg', 'directors': ['Neil LaBute'], 'rating': Decimal('5.4'), 'rank': Decimal('2955'), 'running_time_secs': Decimal('5520')}",2010,Death at a Funeral
"{'actors': ['Steve Carell', 'Jason Segel', 'Russell Brand'], 'release_date': '2010-06-20T00:00:00Z', 'plot': 'When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better.', 'genres': ['Animation', 'Comedy', 'Crime', 'Family'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BMTY3NjY0MTQ0Nl5BMl5BanBnXkFtZTcwMzQ2MTc0Mw@@._V1_SX400_.jpg', 'directors': ['Pierre Coffin', 'Chris Renaud'], 'rating': Decimal('7.6'), 'rank': Decimal('173'), 'running_time_secs': Decimal('5700')}",2010,Despicable Me
